Instance/Method,Total Coverage Contribution,Total Doctor Target Contribution,Total Preference Contribution
1-easy-man,2670,1896.810975609756,514.0498866213153
1-easy-man,2170,1902.5670731707316,458.9732868757258
1-easy-man,1990,1886.0853658536585,278.6615186615185
1-easy-man,1695,2359.060975609756,426.7619047619046
1-easy-man,2020,1898.5670731707316,654.7167676336367
1-easy-man,1485,1921.3292682926829,469.821154268159
1-easy-man,2275,1826.0731707317073,585.00901604661
1-easy-man,1945,1790.5548780487804,477.3968253968254
1-easy-aut,1335,1736.6036585365855,198.43537414965996
1-easy-aut,1395,1710.8475609756097,129.1428571428571
1-easy-aut,1285,1743.219512195122,96.0
1-easy-aut,1230,1776.9756097560976,124.0
1-easy-aut,1235,1840.4817073170732,88.0
1-hard-man,3185,1587.4992594055495,347.401064568387
1-hard-man,2260,1343.3141107929298,325.33333333333337
1-hard-man,2680,1063.0554952108225,306.17989417989423
1-hard-man,3210,1711.8601757677495,273.51644100580273
1-hard-man,3470,1546.4937296336525,380.0948472412221
1-hard-man,2920,1459.0909449985188,207.84952978056415
1-hard-aut,1865,1097.4057470129358,114.00000000000001
1-hard-aut,1965,1184.2614792139825,119.5294117647058
1-hard-aut,2010,1256.5110101708306,88.0
1-hard-aut,1950,1132.5110101708306,133.4545454545454
1-hard-aut,1850,1170.4245087390145,133.8759689922481
2-easy-man,955,908.2049576783555,657.3333333333334
2-easy-man,715,684.4963724304716,418.6666666666667
2-easy-man,935,567.6466898428054,522.8235294117646
2-easy-man,1150,633.1559099153567,437.16129032258067
2-easy-man,1495,735.397445586457,580.8780487804878
2-easy-man,975,648.3008615477629,584.4444444444443
2-easy-aut,625,517.9677297460701,196.00000000000009
2-easy-aut,555,485.42094921402656,123.5294117647058
2-easy-aut,560,492.2073760580411,80.0
2-easy-aut,420,456.7802297460701,108.0
2-easy-aut,380,477.6552297460701,104.0
2-hard-man,2990,688.2616726578804,809.4871794871796
2-hard-man,1745,345.79703410760516,726.089947089947
2-hard-man,1495,306.7522058862523,397.037037037037
2-hard-man,1465,860.5580737258143,659.7874396135265
2-hard-man,1470,762.341224233506,594.5988700564972
2-hard-man,1425,540.8673577591985,440.05050505050497
2-hard-man,2060,565.4494079810423,435.13008130081295
2-hard-man,1955,661.5198277790364,405.6666666666666
2-hard-aut,1090,235.32166260622114,40.0
2-hard-aut,1130,223.5837320762268,64.0
2-hard-aut,1160,151.43925899489807,52.0
2-hard-aut,1180,210.17423660147495,185.0
2-hard-aut,1070,282.43802470016874,48.0
