<<<<<<< HEAD
al 0 1
al 1 4
al 2 7
al 3 8
al 4 6
al 5 9
al 6 1
al 7 4
al 8 7
al 9 8
al 10 6
al 11 9
al 12 1
al 13 3
al 14 2
al 15 8
al 16 9
al 17 4
al 18 7
al 19 3
al 20 5
al 21 0
al 22 9
al 23 4
al 24 1
al 25 7
al 26 6
al 27 0
al 29 5
al 31 3
al 32 1
al 33 0
al 34 5
al 37 3
al 38 1
al 39 0
al 41 5
al 42 7
al 43 9
al 44 6
al 45 8
al 46 4
al 47 5
al 48 3
al 49 9
al 50 1
al 51 2
al 52 8
al 53 4
al 54 6
al 55 7
al 56 9
al 57 1
al 58 0
al 59 4
al 60 6
al 61 3
al 62 5
al 63 1
al 64 7
al 65 4
al 66 6
al 67 3
al 68 2
al 69 8
al 70 7
al 73 9
al 74 6
al 75 8
al 77 7
al 78 9
al 80 6
al 81 8
al 82 7
al 84 0
al 85 5
al 86 9
al 87 1
al 88 2
al 89 4
al 90 6
al 91 3
al 92 5
al 93 1
al 94 4
al 95 9
al 96 6
al 97 3
al 98 8
al 99 5
al 100 1
al 101 9
al 102 0
al 103 7
al 104 6
al 105 8
al 106 1
al 107 5
al 108 3
al 109 7
al 110 6
al 111 4
al 114 2
al 117 4
al 120 2
al 123 4
al 126 8
al 127 9
al 128 5
al 129 3
al 130 2
al 131 7
al 132 8
al 133 9
al 134 6
al 135 1
al 136 5
al 137 7
al 138 8
al 139 4
al 140 6
al 141 9
al 142 1
al 143 7
al 144 3
al 145 4
al 146 6
al 147 0
al 148 9
al 149 7
al 150 2
al 151 3
al 152 6
al 153 5
al 154 0
al 157 3
al 158 1
al 159 5
al 160 0
al 162 3
al 164 1
al 165 5
al 166 0
al 168 8
al 169 7
al 170 2
al 171 9
al 172 6
al 173 3
al 174 1
al 175 4
al 176 2
al 177 8
al 178 6
al 179 7
al 180 1
al 181 4
al 182 0
al 183 8
al 184 6
al 185 5
al 186 4
al 187 9
al 188 0
al 189 3
al 190 2
al 191 5
al 192 1
al 193 9
al 194 0
al 195 7
al 198 8
al 200 6
al 201 7
al 204 8
al 206 6
al 207 7
al 210 8
al 211 9
al 212 6
al 213 2
al 214 5
al 215 4
al 216 1
al 217 3
al 218 9
al 219 2
al 220 5
al 221 4
al 222 3
al 223 7
al 224 6
al 225 8
al 226 4
al 227 5
al 228 0
al 229 7
al 230 6
al 231 1
al 232 8
al 233 5
al 234 3
al 235 7
al 236 6
al 237 2
al 242 9
al 244 2
al 248 9
al 250 2
al 252 8
al 253 7
al 254 4
al 255 6
al 256 5
al 257 3
al 258 1
al 259 9
al 260 8
al 261 6
al 262 5
al 263 4
al 264 0
al 265 7
al 266 8
al 267 6
al 268 2
al 269 5
al 270 9
al 271 7
al 272 3
al 273 8
al 274 6
al 275 5
al 276 1
al 277 9
al 278 7
al 279 3
al 280 0
al 283 4
al 284 1
al 285 3
al 286 0
al 288 4
al 290 1
al 291 3
al 292 0
al 294 7
al 295 5
al 296 2
al 297 6
al 298 0
al 299 3
al 300 8
al 301 4
al 302 7
al 303 6
al 304 1
al 305 9
al 306 8
al 307 4
al 308 7
al 309 2
al 310 1
al 311 9
al 312 8
al 313 5
al 314 4
al 315 7
al 316 2
al 317 9
al 318 5
al 319 3
al 320 4
al 321 7
al 322 6
al 325 5
al 326 8
al 327 7
al 328 6
al 330 5
al 332 8
al 333 7
al 334 6
=======
al 0 7
al 1 9
al 2 6
al 3 0
al 4 4
al 5 3
al 6 5
al 7 9
al 8 6
al 9 0
al 10 8
al 11 4
al 12 2
al 13 7
al 14 6
al 15 0
al 16 8
al 17 5
