Instance,Total Coverage Contribution,Total Doctor Target Contribution,Total Preference Contribution
department2_fixedAfternoon2Weeks, 525,321.66345648806805,52.0
department2_fixedAfternoon2Weeks, 595,336.91246414590466,59.5294117647058
department2_fixedAfternoon2Weeks, 610,366.6707633852342,28.0
department2_fixedAfternoon2Weeks, 525,389.6911734015396,48.0
department2_fixedAfternoon2Weeks, 485,319.3544728466729,80.0
department2_oneDayPerMonth, 640,353.7031285282193,59.5294117647058
department2_oneDayPerMonth, 450,352.9497128686622,36.0
department2_oneDayPerMonth, 520,358.15423104166643,20.0
department2_oneDayPerMonth, 590,394.30908291591066,144.00000000000009
department2_oneDayPerMonth, 555,378.41582282150154,56.0
department2_oneDayPerWeek, 520,349.25708368724634,92.0
department2_oneDayPerWeek, 520,336.97496414590466,88.0
department2_oneDayPerWeek, 485,361.0436518045751,92.0
department2_oneDayPerWeek, 555,350.77363941092784,92.0
department2_oneDayPerWeek, 555,372.7487844479169,108.0
department2_randomDay, 550,329.70900445015513,140.21238938053105
department2_randomDay, 610,361.4187233135167,72.0
department2_randomDay, 590,293.78595803245145,91.5294117647058
department2_randomDay, 520,396.819427600808,114.47058823529403
department2_randomDay, 625,324.1049484247248,99.5294117647058
department2_twoDaysPerMonth, 560,321.19677040612845,52.0
department2_twoDaysPerMonth, 435,348.59859030263397,48.0
department2_twoDaysPerMonth, 450,352.981817248563,40.0
department2_twoDaysPerMonth, 540,374.45699182397493,48.0
department2_twoDaysPerMonth, 435,352.09022492821316,83.5294117647058
department2_weeklyAfternoon, 485,339.11568361386117,60.0
department2_weeklyAfternoon, 450,355.3635720332021,44.0
department2_weeklyAfternoon, 505,345.2838374486607,32.0
department2_weeklyAfternoon, 495,342.66095803245145,52.0
department2_weeklyAfternoon, 485,317.8349877891868,79.5294117647058
